Sl_No,User_ID,Sponsor,Name,Phone,Email,Date,"Approved date",Status,"Pay status","Renewal status"
1,CM8953721,CM4767994,"susmita hansu",9831198311,abc@gmail.com,2023-02-15,2023-02-15,Active,Paid,Active
2,CM4860297,CM4738183,test,8003657203,sujoy.assoftech@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
3,CM2564832,CM4738183,test,9830098300,sujoy.assoftech@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
4,CM2336552,CM8447075,S3,9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
5,CM8626474,CM8447075,S2,9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
6,CM2027707,CM2535567,S1,9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
7,CM4738183,CM2535567,"Anas s",9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
8,CM8165235,CM8447075,"Saad s",9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
9,CM8447075,CM4767994,"Arman Shaikh",9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
10,CM4767994,,Admin,9579040560,clickmaster754@gmail.com,2023-02-10,2023-02-10,Active,Paid,Active
