Sl_No,User_ID,Sponsor,Name,Phone,Email,Date,"Approved date",Status,"Pay status","Renewal status"
1,CM4860297,CM4738183,test,8003657203,sujoy.assoftech@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
2,CM2564832,CM4738183,test,9830098300,sujoy.assoftech@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
3,CM2336552,CM8447075,S3,9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
4,CM8626474,CM8447075,S2,9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
5,CM2027707,CM2535567,S1,9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
6,CM4738183,CM2535567,"Anas s",9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
7,CM2535567,CM8165235,"Sara s",9307031080,mysbsgroup@gmail.com,2023-02-10,,Active,Pending,Pending
8,CM8165235,CM8447075,"Saad s",9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
9,CM8447075,CM4767994,"Arman Shaikh",9307031080,mysbsgroup@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
10,CM4767994,,Admin,9579040560,clickmaster754@gmail.com,2023-02-10,2023-02-10,Active,Paid,Paid
